362;_____ is the result of revealing the meaning of raw facts.;End-user data;An encoded sample;An encrypted bit;Information;Information
487;The property of _____ enables an entity subtype to inherit the attributes and relationships of the supertype.;subtype discriminator; inheritance; specialization hierarchy; entity supertype;inheritance

488;One important inheritance characteristic is that all entity subtypes inherit their _____ key attribute from their supertype.;primary; natural; foreign; surrogate;primary

489;At the implementation level, the supertype and its subtype(s) depicted in a specialization hierarchy maintain a(n) _____ relationship.;self-referencing; 1:1; 1:M; M:N;1:1

490;A(n) _____ is the attribute in the supertype entity that determines to which entity subtype each supertype occurrence is related.;subtype discriminator; inheritance discriminator; specialization hierarchy; entity supertype;subtype discriminator

491;The default comparison condition for the subtype discriminator attribute is the _____ comparison.;nonequality; less than; greater than; equality;equality

492;Which of the following is a specialization hierarchy disjoint constraint scenario in case of partial completeness?;Subtype discriminator can be null;Subtype discriminator cannot be null; Each supertype occurrence is a member of only one subtype; Each supertype occurrence is a member of at least one subtype;Subtype discriminator can be null

493;Which of the following is a specialization hierarchy overlapping constraint scenario in case of partial completeness?;Subtype sets are unique; Supertype has optional subtypes; Subtype discriminators cannot be null; Subtype does not have a supertype;Supertype has optional subtypes

494;Nonoverlapping subtypes are subtypes that contain a(n) _____ subset of the supertype entity set.;entity; subtypes; unique; nonunique;unique

495;Overlapping subtypes are subtypes that contain _____ subsets of the supertype entity set.;null; exclusive; solitary; nonunique;nonunique

496;A total completeness constraint is represented by a _____.;smaller circle inside a bigger circle; rhombus inside a circle; double horizontal line under a circle; single horizontal line above a circle;double horizontal line under a circle

497;A partial completeness constraint is represented by _____.;a dotted line; two dashed lines; a single horizontal line under a circle; a double horizontal line over a circle;a single horizontal line under a circle

498;In the context of total completeness, in a(n) _____, every supertype occurrence is a member of only one subtype.;foreign key constraint; nonunique constraint; overlapping constraint; disjoint constraint;disjoint constraint

499;In the context of total completeness, in a(n) _____, every supertype occurrence is a member of at least one subtype.;unique constraint; disjoint constraint; overlapping constraint; foreign key constraint;overlapping constraint

500;_____ is the bottom-up process of identifying a higher-level, more generic entity supertype from lower-level entity subtypes.;Specialization; Generalization; Normalization; Total completeness;Generalization

501;The purpose of an entity _____ is to simplify an entity-relationship diagram (ERD) and thus enhance its readability.;constraint; cluster; interface; discriminator;cluster

502;An entity cluster is formed by combining multiple interrelated entities into _____.;a single abstract entity object; multiple abstract entity objects; a single entity object; multiple entity objects;a single abstract entity object

503;The most important characteristic of an entity is its _____ key, used to uniquely identify each entity instance.;primary; natural; foreign; surrogate;primary

504;A _____ key is a real-world, generally accepted identifier used to uniquely identify real-world objects.;primary; natural; foreign; surrogate;natural

505;If one exists, a data modeler uses a _____ as the primary key of the entity being modeled.;foreign key; combination key; surrogate key; natural identifier;natural identifier

506;A _____ is a primary key created by a database designer to simplify the identification of entity instances.;composite key; compound key; natural key; surrogate key;surrogate key

507;Composite primary keys are particularly useful as identifiers of composite entities, where each primary key combination is allowed only once in the _____ relationship.;0:1; 1:1; 1:M; M:N;M:N

508;"The ""_____"" characteristic of a primary key states that the selected primary key must not be composed of any attribute(s) that might be considered a violation.";unique values; nonintelligent; preferably single-attribute; security-compliant;security-compliant

509;"The ""_____"" characteristic of a primary key states that the primary key must uniquely identify each entity instance, must be able to guarantee unique values, and must not contain nulls.";unique values; nonintelligent; preferably single-attribute; security-complaint;unique values

510;"According to the ""preferably single-attribute"" characteristic of a primary key, the primary key:";must be able to guarantee unique attribute values; should have the minimum number of attributes possible; should have embedded semantic meaning associated with each attribute; must be composed of attributes that are free from security risks or violations.;should have the minimum number of attributes possible

511;"The ""_____"" characteristic of a primary key states that the primary key should not have embedded semantic meaning.";unique values; nonintelligent; preferably single-attribute; security-compliant;nonintelligent

512;From a structural point of view, 3NF is better than _____.;2NF;3NF;5NF;6NF;2NF

513;Normalization works through a series of stages called normal forms. For most purposes in business database design, _____ stages are as high as you need to go in the normalization process.;two;three;four;five;three

514;From a structural point of view, 2NF is better than _____.;1NF;3NF;4NF;BCNF;1NF

515;An attribute that is part of a key is known as a(n) _____ attribute.;important;nonprime;prime;entity;prime

516;Attribute A _____ attribute B if all of the rows in the table that agree in value for attribute A also agree in value for attribute B.;determines; derives from; controls; owns;determines

517;Some very specialized applications may require normalization beyond the _____.;1NF;2NF;3NF;4NF;4NF

518;Of the following normal forms, _____ is mostly of theoretical interest.;1NF;3NF;BCNF;DKNF;DKNF

519;A table that has all key attributes defined, has no repeating groups, and all its attributes are dependent on the primary key is said to be in _____.;1NF;2NF;3NF;4NF;1NF

520;A(n) _____ exists when there are functional dependencies such that Y is functionally dependent on X, Z is functionally dependent on Y, and X is the primary key.;partial dependency;repeating group;atomic attribute;transitive dependency;transitive dependency

521;A _____ derives its name from the fact that a collection of multiple entries of the same type can exist for any single key attribute occurrence.;partial dependency;transitive dependency;repeating group;primary key;repeating group

522;A relational table must not contain a(n) _____.;entity; attribute;relationship;repeating group;repeating group

523;In a(n) _____ diagram, the arrows above the attributes indicate all desirable dependencies.;Chen; dependency; functionality; ER;dependency

524;Dependencies based on only a part of a composite primary key are known as _____ dependencies.;primary;partial;incomplete;composite;partial

525;If a table has multiple candidate keys and one of those candidate keys is a composite key, the table can have _____ based on this composite candidate key even when the primary key chosen is a single attribute.;Boyce-Codd normal forms;redundancies;time-variances;partial dependencies;partial dependencies

526;A table that is in 2NF and contains no transitive dependencies is said to be in _____.;1NF; 2NF; 3NF; 4NF;3NF

527;Improving _____ leads to more flexible queries.;derived attribute;atomicity;normalization;denormalization;atomicity

528;An atomic attribute _____.;cannot be further subdivided;displays multiplicity;cannot exist in a relational table;is always chosen to be a foreign key;cannot be further subdivided

529;The most likely data type for a surrogate key is _____.;numeric;logical;date;character;numeric

530;Granularity refers to _____.;the level of detail represented by the values in a table`s row;the size of a table;the number of attributes represented in a table;the number of rows in a table;the level of detail represented by the values in a table`s row

531;From a system functionality point of view, _____ attribute values can be calculated when they are needed to write reports or invoices.;atomic;granular; historical;derived;derived

532;In a real-world environment, we must strike a balance between design integrity and _____.;ease of use;robustness;uniqueness;flexibility;flexibility

533;To generate a surrogate key, Microsoft Access uses a(n) _____ data type.;AutoNumber;character;identity;sequence;AutoNumber

534;BCNF can be violated only if the table contains more than one _____ key.;foreign;secondary; primary;candidate;candidate

535;When a table contains only one candidate key, _____ are considered to be equivalent.;the BCNF and the DKNF;the 1NF and the 2NF;the 3NF and the BCNF;the 4NF and the 3NF;the 3NF and the BCNF

536;In a _____ situation, one key determines multiple values of two other attributes and those attributes are independent of each other.; transitive dependency;partial dependency;functional dependency;multivalued dependency;multivalued dependency

537;A table where all attributes are dependent on the primary key but are independent of each other, and no row contains two or more multivalued facts about an entity is said to be in _____.;4NF; 1NF; 2NF; 3NF;4NF

538;A table is in 4NF if it is in 3NF, and _____.;all attributes are unrelated;no column contains the same values; all attributes must be dependent on the primary key and must be dependent on each other;it has no multivalued dependencies;it has no multivalued dependencies

539;An example of denormalization is using a _____ denormalized table to hold report data. This is required when creating a tabular report in which the columns represent data that are stored in the table as rows.;transitive;3NF;component;temporary;temporary

540;Data warehouse routinely uses _____ structures in its complex, multilevel, multisource data environment.;2NF;1NF; 3NF; 4NF;2NF

541;_____ databases reflect the ever-growing demand for greater scope and depth in the data on which decision support systems increasingly rely.;Normalized; Temporary; Report; Data Warehouse;Data warehouse

542;The SQL data manipulation command HAVING:;restricts the selection of rows based on a conditional; restricts the selection of grouped rows based on a expression condition.; modifies an attributes values in one or more tables; groups the selected rows based on one or more rows.;restricts the selection of grouped rows based on a expression condition.

543;The SQL command that allows a user to permanently save data changes is _____.;INSERT; SELECT; COMMIT; UPDATE;COMMIT

544;The _____ command defines a default value for a column when no value is given.;CHECK; UNIQUE; NOT NULL; DEFAULT;DEFAULT

545;The _____ command restricts the selection of grouped rows based on a condition.;DISPLAY; HAVING; FROM; CONVERT;HAVING

546;A(n) _____ query specifies which data should be retrieved and how it should be filtered, aggregated, and displayed.;INSERT; SELECT; COMMIT; UPDATE;SELECT

547;A(n) _____ is an alternate name given to a column or table in any SQL statement.;alias; data type; stored function; trigger;alias

548;According to the rules of precedence, which of the following computations should be completed first?;Additions and subtractions; Multiplications and divisions; Operations within parentheses; Power operations;Operations within parentheses

549;Which query is used to list a unique value for V_CODE, where the list will produce only a list of those values that are different from one another?;"SELECT ONLY V_CODE FROM PRODUCT;";" SELECT UNIQUE V_CODE FROM PRODUCT;";" SELECT DIFFERENT V_CODE FROM PRODUCT;";" SELECT DISTINCT V_CODE FROM PRODUCT;";"SELECT ONLY V_CODE FROM PRODUCT;"

550;When using a(n) _____ join, only rows from the tables that match on a common value are returned.;full; outer; inner; set;inner

551;A(n) _____ join will select only the rows with matching values in the common attribute(s).;natural; outer; full; cross;natural

552;If a designer wishes to create an inner join, but the two tables do not have a commonly named attribute, he can use a(n) _____ clause.;OF; USING; HAS; JOIN ON;JOIN ON

553;A(n) _____ join returns not only the rows matching the join condition (that is, rows with matching values in the common columns) but also the rows with unmatched values.;outer; inner; equid; cross;outer

554;The syntax for a left outer join is _____.;SELECT column-list FROM table1 OUTER JOIN table2 LEFT WHERE join-condition; SELECT column-list FROM table1 LEFT [OUTER] JOIN table2 ON join-condition; SELECT column-list WHERE LEFT table1 = table; SELECT column-list FROM table1 LEFT table2 [JOIN] WHERE join-condition;SELECT column-list FROM table1 LEFT [OUTER] JOIN table2 ON join-condition

555;A(n) _____ join performs a relational product (also known as the Cartesian product) of two tables.;full; cross; natural; equi;cross

556;How many rows would be returned from a cross join of tables A and B, if A contains 8 rows and B contains 18?;8; 18; 26; 144;144

557;Which comparison operator indicates a value is not equal?;<; <=; >=; <>;<>

558;What type of command does this SQL statement use? SELECT P_CODE, P_DESCRIPT, P_PRICE_V_NAME FROM PRODUCT, VENDOR WHERE PRODUCT.V_CODE=VENDOR. V_CODE;set operator; natural join;old-style join; procedural statement;old-style join

559;The special operator used to check whether an attribute value is within a range of values is _____.;BETWEEN; NULL; LIKE; IN;BETWEEN

560;The special operator used to check whether an attribute value matches a given string pattern is _____.;BETWEEN; IS NULL; LIKE; IN;LIKE

561;The SQL aggregate function that gives the number of rows containing non-null values for a given column is _____.;COUNT; MIN; MAX; SUM;COUNT

562;A(n) _____ is a query that is embedded (or nested) inside another query.;alias; operator; subquery; view;subquery

563;In subquery terminology, the first query in the SQL statement is known as the _____ query.;outer; left; inner; base;outer

564;The special operator used to check whether a subquery returns any rows is _____.;BETWEEN; EXISTS; LIKE; IN;EXISTS

565;Which is a feature of a correlated subquery?;The inner subquery executes first.; The outer subquery initiates the process of execution in a subquery.; The outer subquery executes independent of the inner subquery.; The inner subquery initiates the process of execution in a subquery.;The outer subquery initiates the process of execution in a subquery.

566;The _____ function returns the current system date in MS Access.;TO_DATE(); SYSDATE(); DATE(); TODAY();DATE()

567;When using the Oracle TO_DATE function, the code _____ represents a three-letter month name.;MON; MM3; MONTH; MM;MON

568;_____ is a string function that returns the number of characters in a string value.;LENGTH; SUBSTRING; CONCAT; UCASE;LENGTH

569;The Oracle _____ function compares an attribute or expression with a series of values and returns an associated value or a default value if no match is found.;NVL; TO_CHAR; DECODE; CONVERT;DECODE

570;In Oracle, the _____ function converts a date to a character string.;CONVERT(); TO_DATE; TO_CHAR(); TO_STRING();TO_CHAR()

571;_____ is a relational set operator.;EXCEPT; PLUS; ALL; EXISTS;EXCEPT

572;When you create a new database, the RDBMS automatically creates the data _____ tables in which to store the metadata and creates a default database administrator.;index; chapter; dictionary; appendix;dictionary

573;Which SQL format would be best used for a small, numeric data type?;INTEGER; SMALLINT; NUMERIC(L, D); CHAR(L);SMALLINT

574;When writing SQL table-creating command sequences, the entire table definition is enclosed in _____.;asterisks; commas; quotations; parentheses;parentheses

575;"The _____ specification creates an individual index on a respective attribute; use it to avoid having duplicated values in a column.";UNIQUE; NOT NULL; UPDATE; VARCHAR;UNIQUE

576;Words used by a system that cannot be used for any other purpose are called _____ words. For example, in Oracle SQL, the word INITIAL cannot be used to name tables or columns.;reserved; unique; null; character;reserved

577;"You cannot have an invalid entry in the foreign key column; at the same time, you cannot delete a vendor row as long as a product row references that vendor. This is known as _____.";batch updating; referential integrity; authentication; cross joining;referential integrity

578;The _____ constraint assigns a value to an attribute when a new row is added to a table.;NOT NULL; CASCADE; UNIQUE; DEFAULT;DEFAULT

579;The _____ constraint is used to validate data when an attribute value is entered.;UNIQUE; CASCADE; CHECK; SET NULL;CHECK

580;The CREATE TABLE command lets you define constraints when you use the CONSTRAINT keyword, known as a(n) _____ constraint.;column; table; index; cell;table

581;Using the _____ command, SQL indexes can be created on the basis of any selected attribute.;CREATE INDEX; UPDATE CASCADE;SELECT; VARCHAR;CREATE INDEX

582;All changes in a table structure are made using the _____ TABLE command, followed by a keyword that produces the specific changes a user wants to make.;ALTER; COMMIT; UPDATE; ROLLBACK;ALTER

583;A table can be deleted from the database by using the _____ TABLE command.;DROP; DELETE; MODIFY; ERASE;DROP

584;SQL requires the use of the _____ command to enter data into a table.;INSERT; SELECT; COMMIT; NOT NULL;INSERT

585;The _____ command permanently saves all changes such as rows added, attributes modified, and rows deleted made to any table in the database.;COMMIT; SELECT; ROLLBACK; UPDATE;COMMIT

586;Which command would be used to delete the table row where the P_CODE is `BRT-345`?;"DELETE FROM PRODUCT WHERE P_CODE = `BRT-345`;";" REMOVE FROM PRODUCT WHERE P_CODE = `BRT-345`;";" ERASE FROM PRODUCT WHERE P_CODE = `BRT-345`;";" ROLLBACK FROM PRODUCT WHERE P_CODE = `BRT-345`;";"DELETE FROM PRODUCT WHERE P_CODE = `BRT-345`;"

587;When a user issues the DELETE FROM tablename command without specifying a WHERE condition, _____.;no rows will be deleted; the first row will be deleted; the last row will be deleted; all rows will be deleted;all rows will be deleted

588;The _____ command is used to restore the database to its previous condition.;ROWCOUNT; BACKUP; COMMIT; ROLLBACK;ROLLBACK

589;The tables on which a view, or a virtual table derived from a SELECT query, are based are called _____ tables.;indexed; core; relation; base;base

590;The Oracle equivalent to an MS Access AutoNumber is a(n) _____.;auto-number; sequence; TO_NUMBER function; trigger;sequence

591;Which statement describes a feature of Oracle sequences?;Oracle sequences are tied to columns and tables.; Oracle sequences generate a character string that can be assigned to tables.; An Oracle sequence uses the identity column property to automatically number rows.;" Dropping a sequence does not delete values assigned to table attributes; it deletes only the sequence";"Dropping a sequence does not delete values assigned to table attributes; it deletes only the sequence"

592;The _____ pseudo-column is used to select the next value from a sequence.;CURRVAL; NEXTVAL; NEXT; GET_NEXT;NEXTVAL

593;In Oracle, _____ retrieves the current value of a sequence.;NEXTVAL; CURRVAL; VARCHAR; VARCHAR2;CURRVAL

594;In Oracle, _____ make(s) it possible to merge SQL and traditional programming constructs, such as variables, conditional processing (IF-THEN-ELSE), basic loops (FOR and WHILE loops,) and error trapping.;dynamic SQL; stored procedures; embedded SQL; Procedural Language SQL;Procedural Language SQL

595;A _____ is a block of code containing standard SQL statements and procedural extensions that is stored and executed at the DBMS server.;cursor-style process; statement-level trigger; base table; persistent storage module (PSM);persistent storage module (PSM)

596;The PL/SQL block starts with the _____ section.;IS; OPEN; DECLARE; BEGIN;DECLARE

597;The Oracle string concatenation function is _____.;CONCAT; +; ||; &&;||

598;Oracle recommends _____ for creating audit logs.;triggers; stored procedures; stored functions; tables;triggers

599;A(n) _____ cursor is automatically created in procedural SQL when the SQL statement returns only one value.;implicit; dynamic; explicit; static;implicit

600;_____ is a cursor attribute that returns TRUE if the last FETCH returned a row, and FALSE if not.;%ROWCOUNT; %NOTFOUND; %FOUND; %ISOPEN;%FOUND

601;No matter what language you use, if it contains embedded SQL statements, it is called the _____ language.;base; static; host; view;host
